,Unnamed: 0,transcript,user_action,user_action_num
0,0,activate light all like and the entire house,SwitchLightOn,1
1,1,activate basement lights,SwitchLightOn,1
2,2,adjust the bedroom light intensity of thirty nine,SetLightBrightness,4
3,3,can you please change the light color to pink,SetLightColor,5
4,4,rid the brightness to toilet,SetLightBrightness,4
5,5,set the brightness to twelve,SetLightBrightness,4
6,6,set the brightness to twenty,SetLightBrightness,4
7,7,the be bring as with raise,SetLightBrightness,4
8,8,set the cella to two,SetLightBrightness,4
9,9,set the cellar light at twelve,SetLightBrightness,4
10,10,set the cellar lights to two,SetLightBrightness,4
11,11,rid the entire appartment like to two,SetLightBrightness,4
12,12,set the entrance lighting in intensity to twelve,SetLightBrightness,4
13,13,set the entrance lights to brighter setting,IncreaseBrightness,2
14,14,can you please lower the lights for me,DecreaseBrightness,3
15,15,rid the facilities like the twenty nine,SetLightBrightness,4
16,16,set the garden in brightness Will level twelve,SetLightBrightness,4
17,17,set the hallway lights to pink please,SetLightColor,5
18,18,set the intensity of the toilet lighting to two,SetLightBrightness,4
19,19,set the kids bedroom lights to five,SetLightBrightness,4
20,20,set the changing room bring to ten percent percent,SetLightBrightness,4
21,21,set the flat patio us cella to twenty,SetLightBrightness,4
22,22,set the light color to blue,SetLightColor,5
23,23,set the light dimmer in the office,DecreaseBrightness,3
24,24,and you please set the bathroom lights to five,SetLightBrightness,4
25,25,set the lights in the laundry room to level two,SetLightBrightness,4
26,26,set the lights in the laundry room to seventy-three tree,SetLightBrightness,4
27,27,set the lights in toilets to red,SetLightColor,5
28,28,set the lights to higher intensity,IncreaseBrightness,2
29,29,set the lights to higher intensity in the changing room,IncreaseBrightness,2
30,30,set the lights to higher intensity in the living room,IncreaseBrightness,2
31,31,set the lights to waste bright to,DecreaseBrightness,3
32,32,set the lights to lower intensity,DecreaseBrightness,3
33,33,set the lights to green in the large meeting room,SetLightColor,5
34,34,turned the light's intensity to twenty two percent percent,SetLightBrightness,4
35,35,turned the lights blue,SetLightColor,5
36,36,can you turn off the lights in the cellar,SwitchLightOff,0
37,37,turn the lights down in the backyard yard,DecreaseBrightness,3
38,38,turn the lights down in the dining room,DecreaseBrightness,3
