,Unnamed: 0,transcript,user_action,user_action_num
0,0,active igtl like an the entire house,SwitchLightOn,1
1,1,activate basement lights,SwitchLightOn,1
2,2,a djust the bedroom light in tentity of thirty nine,SetLightBrightness,4
3,3,can you please change the light color to pink,SetLightColor,5
4,4,said the rightness to file,SetLightBrightness,4
5,5,set the brightness to twelve,SetLightBrightness,4
6,6,set the brightness to twenty,SetLightBrightness,4
7,7,then the brak as wit randetovis,SetLightBrightness,4
8,8,set the sellar to two,SetLightBrightness,4
9,9,set the cellar light to twelve,SetLightBrightness,4
10,10,set the cellar lights to two,SetLightBrightness,4
11,11,said the entire apartment like to dwo,SetLightBrightness,4
12,12,set the entrange lighting in tensidy to twelve,SetLightBrightness,4
13,13,set the endrance light to a brighter setting,IncreaseBrightness,2
14,14,can you please lower the lights for me,DecreaseBrightness,3
15,15,sed the facilatis lihts to twety nine,SetLightBrightness,4
16,16,set the gard in brightness ti level twelve,SetLightBrightness,4
17,17,set the hallway lights to pink please,SetLightColor,5
18,18,set the intensity of the toilet lighting to two,SetLightBrightness,4
19,19,set the kid's bedroom lights to five,SetLightBrightness,4
20,20,set the launger room lying to tem per cent,SetLightBrightness,4
21,21,set the lit breatness lavele to twenty,SetLightBrightness,4
22,22,set the light color to blue,SetLightColor,5
23,23,set the lights dimmer in the office,DecreaseBrightness,3
24,24,and you please set the bathroom lights to five,SetLightBrightness,4
25,25,shut the lights in the laundry room to level two,SetLightBrightness,4
26,26,set the lights in the laundy room to seventy three,SetLightBrightness,4
27,27,set the lights in toilets to red,SetLightColor,5
28,28,set the lights to a higher intensity,IncreaseBrightness,2
29,29,set the lights to a higher intensity in the changing room,IncreaseBrightness,2
30,30,set the lights to a higher intensity in the living room,IncreaseBrightness,2
31,31,set the lights to a las bright satin,DecreaseBrightness,3
32,32,set the lights to a lower intensity,DecreaseBrightness,3
33,33,set the lights to green in the large reeting room,SetLightColor,5
34,34,turned the liht's intensity to twenty two per cent,SetLightBrightness,4
35,35,turn the lights blue,SetLightColor,5
36,36,can you turn off the lights in the cellar,SwitchLightOff,0
37,37,turn the lights down in the back yard,DecreaseBrightness,3
38,38,turn the lights down in the dining room,DecreaseBrightness,3
39,39,turn the lights down in the living room,DecreaseBrightness,3
40,40,un de lady's grin,SetLightColor,5
41,41,torned the lights in the garden off,SwitchLightOff,0
42,42,carm the lihts in the large meting room pik,SetLightColor,5
43,43,tan the lights in the waiting room tor five,SetLightBrightness,4
44,44,turned the light in the waiting room to thirty nine,SetLightBrightness,4
45,45,turn the lights off,SwitchLightOff,0
46,46,turn the lights off in the basement,SwitchLightOff,0
47,47,can you turn off the lights in the parting room,SwitchLightOff,0
48,48,turn the lights ufp in the dining room,SwitchLightOff,0
49,49,turn the lights off in the dining room,SwitchLightOff,0
50,50,turn the lights off in the laundyroom,SwitchLightOff,0
51,51,turn the lights off in the office,SwitchLightOff,0
52,52,turn the lights off in shed,SwitchLightOff,0
53,53,turn the lights off in the toilet,SwitchLightOff,0
54,54,turn the lades off lau,SwitchLightOff,0
55,55,turn the lights off,SwitchLightOff,0
56,56,from the lights on,SwitchLightOn,1
57,57,turned the lights on above the toilets,SwitchLightOn,1
58,58,can you turn off the lights please,SwitchLightOff,0
59,59,urn the light on everywhere,SwitchLightOn,1
60,60,turn the light on department,SwitchLightOn,1
61,61,turn the light on in the bedroom,SwitchLightOn,1
62,62,turned the light on in e changing room,SwitchLightOn,1
63,63,turn the lights on in the kitchen,SwitchLightOn,1
64,64,turned the lights on in the meeting room,SwitchLightOn,1
65,65,turn the light sun in the pantry,SwitchLightOn,1
66,66,turn the lights on in a small meeting room,SwitchLightOn,1
67,67,turn the lights on in the studio,SwitchLightOn,1
68,68,done the light on now,SwitchLightOn,1
69,69,a't jist the brightness to level then,SetLightBrightness,4
70,70,can ye turn off the lights,SwitchLightOff,0
71,71,turn the lights on pink,SetLightColor,5
72,72,turn the lights on please,SwitchLightOn,1
73,73,dowin the life on the kitchen,SwitchLightOn,1
74,74,done the light on,SwitchLightOn,1
75,75,turn the lights pink please,SetLightColor,5
76,76,turned the lights read in the bedroom,SetLightColor,5
77,77,turned the lights to a darker setting in the office,DecreaseBrightness,3
78,78,turn the lights to a higher setting,IncreaseBrightness,2
79,79,turn the lights to a lower setting,DecreaseBrightness,3
80,80,o lad stood bou in the house,SetLightBrightness,4
81,81,can ye turn on bathrem lihe,SwitchLightOn,1
82,82,turn the late supper notch in the cellar,IncreaseBrightness,2
83,83,turn the lights up and otch please,IncreaseBrightness,2
84,84,turn the lights up in the entrance,IncreaseBrightness,2
85,85,torren the latop in the leue,IncreaseBrightness,2
86,86,turned the lights up into studio,IncreaseBrightness,2
87,87,turn the lights up in the toilets,IncreaseBrightness,2
88,88,turn the living room wite up,IncreaseBrightness,2
89,89,turned te lounge lights red,SetLightColor,5
90,90,turned the apatio light pink,SetLightColor,5
91,91,can you town on the light,SwitchLightOn,1
92,92,turn the studio lights on,SwitchLightOn,1
93,93,turn the studio wite the thirty nine,SetLightBrightness,4
94,94,turn the vestibule lights to two,SetLightBrightness,4
