,transcript,user_action,user_action_num
0,w. lights in the in her house,SwitchLightOn,1
1,active impeachment light,SwitchLightOn,1
2,just the bedroom like intend to or thirty nine,SetLightBrightness,4
3,can you please changed the white collar being,SetLightColor,5
4,the do,SetLightBrightness,4
5,some brightness to twelve,SetLightBrightness,4
6,not the brightest twenty,SetLightBrightness,4
7,and <unk>,SetLightBrightness,4
8,<unk> true,SetLightBrightness,4
9,set the cellar lights as well,SetLightBrightness,4
10,fellow lights to to,SetLightBrightness,4
11,then <unk> like to do,SetLightBrightness,4
12,the entrance lighting intensity to twelve,SetLightBrightness,4
13,san diego right you right it's setting,IncreaseBrightness,2
14,can you please lower the line for me,DecreaseBrightness,3
15,necessity like like <unk>,SetLightBrightness,4
16,the garden brightness local well,SetLightBrightness,4
17,the hallway like pink,SetLightColor,5
18,the learning to to,SetLightBrightness,4
19,so the kids bedroom lights to five,SetLightBrightness,4
20,so the laundry room lying to ten percent,SetLightBrightness,4
21,did that late late and level <unk>,SetLightBrightness,4
22,so the light color to blue,SetLightColor,5
23,said the lights dimmer in the office,DecreaseBrightness,3
24,complain about bathroom my five,SetLightBrightness,4
25,the lights in the laundry room level too,SetLightBrightness,4
26,the in the laundry room to seventy three,SetLightBrightness,4
27,set the lights in toilets to read,SetLightColor,5
28,satellite's too are higher intensity,IncreaseBrightness,2
29,<unk> higher intensity and the changing,IncreaseBrightness,2
30,satellites to a higher standard of living,IncreaseBrightness,2
31,<unk> last race setting,DecreaseBrightness,3
32,delays to lower intensity,DecreaseBrightness,3
33,the light's green and the large meeting them,SetLightColor,5
34,turn the lights intensity two percent,SetLightBrightness,4
35,lives like,SetLightColor,5
36,and you turn on the lights in the cellar,SwitchLightOff,0
37,[noise] during the lights down in the back yard,DecreaseBrightness,3
38,turn the lights down in the dining room,DecreaseBrightness,3
39,turn lives down in the living room,DecreaseBrightness,3
40,like getting,SetLightColor,5
41,like in the garden off,SwitchLightOff,0
42,charmed life in the machine and p.,SetLightColor,5
43,and the lights in the waiting room full five,SetLightBrightness,4
44,turn the lights in the waiting room to thirty nine,SetLightBrightness,4
45,turn the lights off,SwitchLightOff,0
46,turn the lights off in the basement,SwitchLightOff,0
47,yeah you like in the parking room,SwitchLightOff,0
48,turn the lights up in the dining room,SwitchLightOff,0
49,turn the lights off in the dining room,SwitchLightOff,0
50,the lights off in the laundry room,SwitchLightOff,0
51,turn the lights off in the office,SwitchLightOff,0
52,doesn't shed,SwitchLightOff,0
53,from the laptop in the toilet,SwitchLightOff,0
54,been laid off no,SwitchLightOff,0
55,turn the lights off,SwitchLightOff,0
56,the lights on,SwitchLightOn,1
57,the lights on about the toilets,SwitchLightOn,1
58,can you turn on life please,SwitchLightOff,0
59,the lights on everywhere,SwitchLightOn,1
60,no lights on department,SwitchLightOn,1
61,turn the lights on in the bedroom,SwitchLightOn,1
62,<unk> changing room,SwitchLightOn,1
63,then the lights on in the kitchen,SwitchLightOn,1
64,no lights on in the meeting room,SwitchLightOn,1
65,turn the lights on independently,SwitchLightOn,1
66,turn the lights on the small meeting room,SwitchLightOn,1
67,turn the lights on in the studio,SwitchLightOn,1
68,doing the on now,SwitchLightOn,1
69,i just diagnosed his game,SetLightBrightness,4
70,can you turn off the light,SwitchLightOff,0
71,turn the lights on,SetLightColor,5
72,turn the lights on please,SwitchLightOn,1
73,the on the kitchen,SwitchLightOn,1
74,[noise],SwitchLightOn,1
75,turn the lights pink please,SetLightColor,5
76,turn the light right in the bedroom,SetLightColor,5
77,turn the lights dry darker setting in the office,DecreaseBrightness,3
78,turn the lights to hire setting,IncreaseBrightness,2
79,turn the lights to lower setting,DecreaseBrightness,3
80,<unk>,SetLightBrightness,4
81,turned on bathroom light,SwitchLightOn,1
82,done the lights up a notch the same not,IncreaseBrightness,2
83,turn the lights up a notch you,IncreaseBrightness,2
84,turn the lights of the entrance,IncreaseBrightness,2
85,trying to learn something new,IncreaseBrightness,2
86,turn the lights up in the studio,IncreaseBrightness,2
87,turn the lights up in the toilet,IncreaseBrightness,2
88,turn the living room lights up,IncreaseBrightness,2
89,turn the lounge lights right,SetLightColor,5
90,the patio like,SetLightColor,5
91,you don't on tonight,SwitchLightOn,1
92,turning studio lights on,SwitchLightOn,1
93,turn the studio like thirty nine,SetLightBrightness,4
94,turning the vestibule lights to to,SetLightBrightness,4
95,turn the lights up,IncreaseBrightness,2
96,waiting brightness to to,SetLightBrightness,4
97,needs to seven fifty,SetLightBrightness,4
98,turned toilet run lights on,SwitchLightOn,1
99,turn up the brightness,IncreaseBrightness,2
100,turn off the brightness in changing rooms,IncreaseBrightness,2
101,tournaments the lighting,IncreaseBrightness,2
102,he turned to bring us down in the backyard,DecreaseBrightness,3
103,hello,IncreaseBrightness,2
104,turn on the lights in the cellar,IncreaseBrightness,2
105,turn up the and kids room,IncreaseBrightness,2
106,turn out the lights in the kitchen,IncreaseBrightness,2
107,turn on the lights in the pantry,IncreaseBrightness,2
108,turn on the lights in the parking,IncreaseBrightness,2
109,turn the lights in the patio,IncreaseBrightness,2
110,dan i'm the lights in the toilet,IncreaseBrightness,2
111,part of the legs,IncreaseBrightness,2
112,you turn the brightness to ten,SetLightBrightness,4
113,turn off the light,IncreaseBrightness,2
114,turn vegetable landing on,SwitchLightOn,1
115,we have a large meeting room i need some red lights in there,SetLightColor,5
116,we need a bunch done to buy diesel,IncreaseBrightness,2
117,what do i need to do to get the dining room to fifty brightness,SetLightBrightness,4
118,well you increase the president's teas,IncreaseBrightness,2
119,well you make the entrance lights read for the afternoon,SetLightColor,5
120,we use that they chose to fifty brightness,SetLightBrightness,4
121,did you turn down the right now,DecreaseBrightness,3
122,would you please turn on the lights and my cubicle,SwitchLightOn,1
123,<unk> individual,IncreaseBrightness,2
124,what do you switch my kitchen lead into um,SwitchLightOn,1
125,would you turn on my basement light,SwitchLightOn,1
126,did you turn on my basement like,SwitchLightOn,1
127,just brightness of lounge late to of twenty two,SetLightBrightness,4
128,ah laid off,SwitchLightOff,0
129,oh nice,SwitchLightOff,0
130,basement life should be set to twelve,SetLightBrightness,4
131,you smell like shouldn't be turned on,SwitchLightOn,1
132,bottom brave enough to do,SetLightBrightness,4
133,them do to increase debate nice,IncreaseBrightness,2
134,continue dumbo she'll lay down,SwitchLightOn,1
135,like uh,SwitchLightOff,0
136,bedroom brightness to to please,SetLightBrightness,4
137,like damn,DecreaseBrightness,3
138,boardrooms dark turn on like,SwitchLightOn,1
139,burlington kitchen,IncreaseBrightness,2
140,brighten up the cubicle,IncreaseBrightness,2
141,bring up the lights,IncreaseBrightness,2
142,can you give me some like please,SwitchLightOn,1
143,can you give me some light please in the kitchen,SwitchLightOn,1
144,can you give me some nights,SwitchLightOn,1
145,you turn me cubicle like twenty two,SetLightBrightness,4
146,can you increase the brightness,IncreaseBrightness,2
147,and you increase the brightness in the laundry room,IncreaseBrightness,2
148,can you increase the brightness soak entire house,IncreaseBrightness,2
149,you miss the bedroom little darker possible,DecreaseBrightness,3
150,can you make the light blue,SetLightColor,5
151,can you please turn on the lights,SwitchLightOn,1
152,turned down the lights in here,DecreaseBrightness,3
153,<unk> december lights,SwitchLightOff,0
154,can you travel to house lights,SwitchLightOff,0
155,turning fifty kids bedroom lights,SwitchLightOff,0
156,can you turn the lights down one notch,DecreaseBrightness,3
157,daniel done the lights though,DecreaseBrightness,3
158,he likes to being kinda,SetLightColor,5
159,gun sit back god like to bite and setting off,SetLightBrightness,4
160,<unk> to being,SetLightColor,5
161,<unk> percent,SetLightBrightness,4
162,change the color about it might be,SetLightColor,5
163,<unk> being,SetLightColor,5
164,<unk> do pink,SetLightColor,5
165,[noise] change lancing to pink,SetLightColor,5
166,[noise] change lights to blue,SetLightColor,5
167,you turn the lights off,SwitchLightOff,0
168,change like the bank,SetLightColor,5
169,he began it needs being,SetLightColor,5
170,change delight to pink,SetLightColor,5
171,teams that she likes to be,SetLightColor,5
172,about who likes to lean,SetLightColor,5
173,[noise] <unk>,SetLightColor,5
174,changing my is,SwitchLightOff,0
175,lose a late in the courtroom,SwitchLightOff,0
